code;nr;gebied;gebiednaam;provincie;WOZ;stedelijkheid;OAD;ligging;abw_totaal;abw_vrijst;abw_tweekap;abw_rijwoni;abw_meergez_laagb;abw_meergez_hoogb;abw_koop;abw_soc_huur;abw_part_huur;abw_1_pers;abw_2_pers;abw_3_pers;aapbw_totaal;aapbw_koop_vrijst;aapbw_koop_tweekap;aapbw_koop_rijwoni;aapbw_koop_meergez_laagb;aapbw_koop_meergez_hoogb;aapbw_soc_huur_vrijst;aapbw_soc_huur_tweekap;aapbw_soc_huur_rijwoni;aapbw_soc_huur_meergez_laagb;aapbw_soc_huur_meergez_hoogb;aapbw_part_huur_vrijst;aapbw_part_huur_tweekap;aapbw_part_huur_rijwoni;aapbw_part_meergez_laagb;aapbw_part_meergez_hoogb
GM0203;50;gemeente;Barneveld;;294;4;876;;22100;23,9%;11,4%;47,6%;16,4%;0,6%;68,4%;19,6%;12,1%;26,7%;32,1%;41,2%;1,5;2,1;1,8;1,6;1,0;1,1;0,9;1,3;1,0;0,5;1,0;1,6;1,4;1,2;0,6;1,0
GM0209;51;gemeente;Beuningen;;251;4;996;;11100;19,8%;14,0%;51,8%;13,7%;0,7%;69,9%;22,9%;7,2%;27,4%;37,4%;35,2%;1,4;1,9;1,7;1,5;1,0;1,0;;1,0;0,9;0,6;0,8;1,7;1,3;1,1;0,7;
GM0213;52;gemeente;Brummen;;255;4;763;;9100;25,2%;17,3%;47,5%;10,0%;0,0%;62,3%;31,9%;5,9%;29,2%;39,9%;31,0%;1,4;1,8;1,7;1,5;1,1;;;1,2;1,0;0,4;;1,4;1,3;1,1;0,5;
GM0214;53;gemeente;Buren;;301;5;288;;10800;40,7%;16,8%;37,5%;5,0%;0,0%;75,2%;20,2%;4,6%;23,3%;39,1%;37,6%;1,7;2,1;1,8;1,7;1,3;;;0,9;1,0;0,7;;1,8;1,1;1,2;1,4;
GM0216;54;gemeente;Culemborg;;235;3;1463;;12400;8,2%;8,4%;60,4%;19,5%;3,6%;64,2%;27,3%;8,6%;31,6%;33,9%;34,5%;1,2;1,8;1,6;1,4;1,0;1,0;;0,8;0,9;0,5;0,7;1,9;1,1;1,1;0,5;0,5
GM0221;55;gemeente;Doesburg;;198;4;860;;5200;8,4%;9,0%;61,8%;17,8%;2,9%;53,2%;39,5%;7,4%;34,8%;37,3%;27,9%;1,2;1,8;1,6;1,5;1,1;1,2;;0,9;0,9;0,5;0,8;1,7;;0,9;0,7;1,0
GM0222;56;gemeente;Doetinchem;;208;3;1137;;25500;17,9%;13,8%;46,2%;18,8%;3,4%;60,4%;29,7%;9,9%;33,5%;35,1%;31,4%;1,2;1,7;1,6;1,4;1,1;1,1;1,0;1,0;0,8;0,5;0,5;1,6;1,1;1,1;0,6;0,9
GM0225;57;gemeente;Druten;;238;4;805;;7900;23,2%;15,1%;46,7%;13,4%;1,6%;66,1%;24,3%;9,5%;26,9%;37,1%;36,0%;1,4;1,9;1,7;1,6;1,0;1,2;;1,0;0,9;0,6;;1,3;1,3;1,2;0,5;1,1
GM0226;58;gemeente;Duiven;;223;3;1157;;10600;13,9%;10,4%;63,0%;12,7%;0,0%;67,2%;26,8%;6,0%;27,0%;37,2%;35,8%;1,3;1,9;1,7;1,5;1,0;;;0,9;0,9;0,5;;1,5;1,7;1,2;0,8;
GM0228;59;gemeente;Ede;;263;2;1553;;47200;18,9%;10,0%;42,8%;21,3%;7,1%;67,1%;21,3%;11,6%;30,2%;33,6%;36,2%;1,3;2,0;1,6;1,4;1,0;0,9;0,6;0,9;0,9;0,5;0,5;1,6;1,2;1,2;0,7;0,7
